summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehicle_body_type,vehicle_make,issuing_agency,street_code1,street_code2,street_code3,vehicle_expiration_date,violation_location,violation_precinct,issuer_precinct,issuer_code,issuer_command,issuer_squad,violation_time,violation_county,street_name,intersecting_street,date_first_observed,law_section,sub_division,days_parking_in_effect,from_hours_in_effect,to_hours_in_effect,vehicle_color,unregistered_vehicle,vehicle_year,meter_number,feet_from_curb,violation_in_front_of_or_opposite,house_number,time_first_observed,violation_description,violation_legal_code,violation_post_code,lat,lon
9068540798,HKB6933,NY,PAS,2023-07-24T00:00:00.000,21,4DSD,TOYOT,T,36190,11710,13610,20240921.0,26.0,26,26,358596,T103,EE,1112A,NY,W 121st St,,0,408,D1,Y,1100A,1230A,GY,,2013,,0,F,509,,21-No Parking (street clean),,21,40.8105675,-73.95942
9063274919,33995MK,NY,COM,2023-07-19T00:00:00.000,71,DUMP,ISUZU,T,17510,24890,13612,20250531.0,13.0,13,13,368908,T102,M,0505P,NY,E 26th St,,0,408,J6,YYYYYYY,,,WH,,2016,,0,F,145,,71A-Insp Sticker Expired (NYS),,08,40.741299,-73.9825097
9063578787,LFY7716,PA,PAS,2023-07-20T00:00:00.000,21,SUBN,BUICK,T,19210,10410,25390,88888888.0,23.0,23,23,367972,T103,J,0950A,NY,E 112th St,,0,408,D1,Y  Y,0930A,1100A,BLACK,,0,,0,F,1,,21-No Parking (street clean),,16,40.797461,-73.946505
8898645272,83552ME,NY,COM,2023-07-03T00:00:00.000,20,DELV,FRUEH,T,33690,21290,13113,88888888.0,6.0,6,6,376205,T102,T,1229P,NY,Waverly Pl,,0,408,D,YYYYY,0800A,0600P,WHITE,,2006,,0,F,152,,20-No Parking (Com Plate),,41,40.7332421,-74.0010949
2012714596,3047189,ME,PAS,2023-07-17T00:00:00.000,66,TRLR,ATRO,S,56230,56430,39730,0.0,75.0,75,0,0,KN05,,0817A,Kings,LINDEN BOULEVARD,,0,408,k4,,,,WH,,0,,0,O,2300,00000,Detached Trailer (No Street Protection),,,40.6631553,-73.8773444
1491884307,LAT2929,NY,PAS,2023-06-12T00:00:00.000,46,SUBN,GMC,P,9620,22920,40320,20250301.0,49.0,49,49,974846,0049,0.0,0758P,NY,ASTOR AVE,,0,408,K6,BBBBBBB,ALL,ALL,BLK,0.0,2016,-,0,F,740,,,,,40.8594652,-73.8660073
9066312324,XJDD84,NJ,PAS,2023-07-17T00:00:00.000,42,PICK,CHEVR,T,30790,0,0,20238888.0,1.0,1,1,370846,T105,E,1228P,NY,Spring St,15ft W/of Broadway,0,408,H1,YYYYY,0800A,0600P,WHITE,,0,106586,0,I,S,1100A,42-Exp Meter (Com Zone),,021,40.7211127,-73.9942285
9064992848,B19RVC,NJ,PAS,2023-07-19T00:00:00.000,31,SUBN,JEEP,T,24050,15500,28490,88888888.0,1.0,1,1,375379,T105,G,1237P,NY,John St,,0,408,L3,YYYYY,0700A,0700P,BLACK,,0,,0,F,116,,31-No Stand (Com. Mtr. Zone),,048,40.7074899,-74.0058959
9067900205,WJX68M,NJ,PAS,2023-07-23T00:00:00.000,19,4DSD,TOYOT,T,25390,18250,18270,88888888.0,19.0,19,19,370286,T103,Q,0424P,NY,Madison Ave,,0,408,C3,YYYYYYY,,,SILVE,,0,,0,F,717,,19-No Stand (bus stop),,01,40.7662313,-73.969098
9064029453,8HNG496,CA,PAS,2023-07-23T00:00:00.000,16,SUBN,CADIL,T,34710,10410,10510,20238888.0,18.0,18,18,367394,T106,N,0115P,NY,W 47th St,,0,408,K2,Y     Y,0700A,0200P,GREY,,0,,0,F,50,,16A-No Std (Com Veh) Non-COM,,20,40.7574915,-73.9808385
