violation_county,street_name,house_number,full_address,lat,lon
Q,Junction Blvd,E,"E Junction Blvd, Q, NYC",40.69325,-73.73328
NY,E 1st St,6,"6 E 1st St, NY, NYC",40.72478,-73.991684
K,15th St,255,"255 15th St, K, NYC",40.66497,-73.9878
K,ROGERS AVE,1222,"1222 ROGERS AVE, K, NYC",40.64001,-73.951494
NY,E 3rd St,N,"N E 3rd St, NY, NYC",40.723483,-73.984892
Q,48th St,W,"W 48th St, Q, NYC",40.76147,-73.988048
NY,W 35th St,155,"155 W 35th St, NY, NYC",40.751511,-73.989198
NY,E 9th St,443,"443 E 9th St, NY, NYC",40.727504,-73.98294
BX,Netherland Ave,3215,"3215 Netherland Ave, BX, NYC",40.884133,-73.911742
BX,W 179th St,S,"S W 179th St, BX, NYC",40.855451,-73.913702
NY,W 88th St,170,"170 W 88th St, NY, NYC",40.788744,-73.973482
BX,Barnes Ave,2759,"2759 Barnes Ave, BX, NYC",40.867415,-73.863718
NY,8th Ave,915,"915 8th Ave, NY, NYC",40.762916,-73.985648
BX,E 189th St,414,"414 E 189th St, BX, NYC",40.860256,-73.89188
R,Bay St,70,"70 Bay St, R, NYC",40.640253,-74.075892
NY,W 54th St,246,"246 W 54th St, NY, NYC",40.76431,-73.98338
K,N 10th St,125,"125 N 10th St, K, NYC",40.720176,-73.95658
R,Bond St,15,"15 Bond St, R, NYC",40.689213,-73.98313
K,Court St,170,"170 Court St, K, NYC",40.688074,-73.993387
NY,E 233 ST,912,"912 E 233 ST, NY, NYC",40.891228,-73.851196
K,Waverly Ave,304,"304 Waverly Ave, K, NYC",40.688754,-73.967137
NY,Crosby St,16,"16 Crosby St, NY, NYC",40.720122,-74.00025
NY,W 21st St,54,"54 W 21st St, NY, NYC",40.74124,-73.993165
NY,E 90th St,400,"400 E 90th St, NY, NYC",40.779162,-73.947283
Q,12th St,W,"W 12th St, Q, NYC",40.790758,-73.80065
BX,Sedgwick Ave,2820,"2820 Sedgwick Ave, BX, NYC",40.872655,-73.90178
BX,Soundview Ave,W,"W Soundview Ave, BX, NYC",40.816511,-73.861014
K,62nd St,1867,"1867 62nd St, K, NYC",40.619987,-73.986544
NY,E 62nd St,221,"221 E 62nd St, NY, NYC",40.76315,-73.964152
NY,Audubon Ave,400,"400 Audubon Ave, NY, NYC",40.851299,-73.930678
NY,Madison Ave,1573,"1573 Madison Ave, NY, NYC",40.793909,-73.949098
K,Avenue P,494,"494 Avenue P, K, NYC",40.60904,-73.969208
NY,W 124th St,3,"3 W 124th St, NY, NYC",40.808148,-73.948467
NY,Attorney St,174,"174 Attorney St, NY, NYC",40.72089,-73.98306
K,Humboldt St,298,"298 Humboldt St, K, NYC",40.711992,-73.942139
BX,WHEELER AVE,1154,"1154 WHEELER AVE, BX, NYC",40.827636,-73.879658
R,Gordon St,284,"284 Gordon St, R, NYC",40.620285,-74.083729
NY,W 207th St,616,"616 W 207th St, NY, NYC",40.867929,-73.921542
